"id","poble","advocació","comarca","alçada"
243,"Castellnou de Bages","Sant Andreu","Bages, el","15.85"
244,"Castelltallat","Sant Miquel","Bages, el","19.3"
245,"Coaner","Sant Julià","Bages, el","15.39"
246,"Cornet","Santa Maria","Bages, el","16.46"
247,"Coromina, La","Sant Ramon","Bages, el","16.42"
248,"Fonollosa","Santa Creu","Bages, el","22.78"
249,"Gaià","Santa Maria","Bages, el","19.23"
250,"Horta d'Avinyó","Santa Maria","Bages, el","18.8"
251,"Manresa","Mare de Déu de Viladordis","Bages, el","18.58"
252,"Manresa","Santa Maria de Valldaura","Bages, el","24.47"
253,"Manresa","Santa Maria, la Seu","Bages, el","50.5"
254,"Monistrol de Montserrat","Sant Pere","Bages, el","25.2"
255,"Monistrolet","Santa Maria ","Bages, el","20.95"
256,"Mura","Sant Martí","Bages, el","18.02"
257,"Navarcles","Sant Valentí","Bages, el","32.63"
258,"Navàs","Sagrada Família","Bages, el","25.96"
259,"Pont de Vilomara","Santa Maria Magdalena","Bages, el","23.7"
260,"Rajadell","Sant Iscle i santa Victòria","Bages, el","20.85"
261,"Rocafort","Santa Maria","Bages, el","20.44"
262,"Salo","Sants Pere i Feliu","Bages, el","14.85"
263,"Sallent","Santa Maria","Bages, el","38.08"
264,"Sant Feliu Sasserra","Sant Feliu","Bages, el","26.61"
265,"Sant Fruitós de Bages","Sant Fruitós","Bages, el","24.47"
266,"Sant Martí de Torruella","Sant Martí","Bages, el","17.57"
267,"Sant Mateu de Bages","Sant Mateu","Bages, el","17.5"
268,"Sant Salvador de Guardiola","Sant Salvador","Bages, el","22.7"
269,"Sant Vicenç de Castellet","Sant Vicenç","Bages, el","22.34"
270,"Santpedor","Sant Pere","Bages, el","32.24"
271,"Serraïma","Sant Pere","Bages, el","11.06"
272,"Súria","Sant Cristòfol","Bages, el","33.3"
273,"Talamanca","Santa Maria","Bages, el","15.63"
274,"Torres de Fals","Sant Vicenç","Bages, el","15.65"
275,"Vila-ramó","Sant Esteve","Bages, el","11.83"
276,"Vilar, El","Santa Maria","Bages, el","21.91"
277,"Albiol, L'","Sant Miquel","Baix Camp, el","21.03"
278,"Aleixar, L'","Sant Martí","Baix Camp, el","40.00"
279,"Alforja","Sant Miquel","Baix Camp, el","47.3"
280,"Almoster","Sant Miquel","Baix Camp, el","25.03"
281,"Arbocet, L'","Sant Joan","Baix Camp, el","23.39"
282,"Arbolí","Sant Andreu","Baix Camp, el","21.95"
