"id","poble","advocació","comarca","alçada"
1233,"Sucs","L'Assumpció","Segrià, el","23.37"
1234,"Sudanell","Sant Pere","Segrià, el","34.94"
1235,"Torre-serona","L'Assumpció","Segrià, el","23.49"
1236,"Torrefarrera","L'Exaltació de la Santa Creu","Segrià, el","20.24"
1237,"Torres de Segre","L'Assumpció","Segrià, el","30.62"
1238,"Vilanova de la Barca","L'Assumpció","Segrià, el","32.62"
1239,"Amer","Santa Maria ","Selva, la","45.6"
1240,"Anglès","Sant Miquel","Selva, la","25.00"
1241,"Arbúcies","Sant Quirze i santa Julita","Selva, la","31.00"
1242,"Blanes","Santa Maria ","Selva, la","30.87"
1243,"Breda","Sant Salvador","Selva, la","35.17"
1244,"Brunyola","Sant Fruitós","Selva, la","23.8"
1245,"Caldes de Malavella","Sant Esteve","Selva, la","24.44"
1246,"Caserans","Sant Llorenç","Selva, la","20.5"
1247,"Castenyet","Sant Andreu","Selva, la","17.35"
1248,"Cellera de Ter, La","Mare de Déu de Sales","Selva, la","30.00"
1249,"Cerdans","Sant Cristòfol","Selva, la","13.24"
1250,"Esparra, L'","Sant Martí","Selva, la","25.5"
1251,"Fogars de Tordera","Sant Cebrià","Selva, la","16.53"
1252,"Fornells de la Selva","Sant Cugat","Selva, la","29.00"
1253,"Franciac","Sant Mateu","Selva, la","18.66"
1254,"Grions","Sant Gabriel","Selva, la","22.00"
1255,"Hostalric","Santa Maria","Selva, la","24.2"
1256,"Joanet","Sant Mateu","Selva, la","16.89"
1257,"Lloret de Mar","Sant Romà","Selva, la","30.75"
1258,"Maçanet de la Selva","Sant Llorenç","Selva, la","31.22"
1259,"Martorell de la Selva","Sant Pere","Selva, la","24.00"
1260,"Massanes","Sant Esteve","Selva, la","20.75"
1261,"Osor","Sant Pere","Selva, la","26.43"
1262,"Reminyó","Sant Andreu","Selva, la","18.54"
1263,"Riudarenes","Sant Martí","Selva, la","29.3"
1264,"Riudellots de la Selva","Sant Esteve ","Selva, la","27.00"
1265,"Salitja","L'Assumpció","Selva, la","23.3"
1266,"Sant Climent d'Amer","Sant Climent","Selva, la","23.42"
1267,"Sant Dalmai","Sant Dalmau","Selva, la","24.25"
1268,"Sant Feliu de Buixalleu","Sant Feliu","Selva, la","19.23"
1269,"Sant Hilari Sacalm","Sant Hilari","Selva, la","36.7"
1270,"Sant Martí Sacalm","Sant Martí","Selva, la","13.06"
1271,"Sant Martí Sapresa","Sant Martí","Selva, la","16.58"
1272,"Sant Miquel de Cladells","Sant Miquel","Selva, la","15.15"
1273,"Santa Coloma de Farners","Santa Coloma","Selva, la","36.2"
1274,"Santa Creu d'Horta","Santa Creu","Selva, la","14.04"
1275,"Santa Seclina","Sant Seclina","Selva, la","23.42"
1276,"Sils","Santa Maria","Selva, la","23.67"
1277,"Tossa de Mar","Sant Vicenç","Selva, la","28.5"
1278,"Vallcanera","Santa Eulàlia","Selva, la","24.09"
1279,"Vallors","Santa Margarida","Selva, la","13.99"
1280,"Vidreres","Sant Iscle","Selva, la","26.41"
1281,"Vilobí d'Onyar","Sant Esteve","Selva, la","40.00"
1282,"Ardèvol","Santa Maria","Solsonès, el","18.99"
1283,"Besora","Sant Serni","Solsonès, el","17.14"
1284,"Brics","Sant Salvador","Solsonès, el","14.47"
1285,"Cambrils (de Solsonès)","Sant Martí","Solsonès, el","15.28"
1286,"Castellar de la Ribera","Sant Pere","Solsonès, el","14.25"
1287,"Clariana de Cardener","Sant Serni","Solsonès, el","20.55"
1288,"Coma, La","Sant Quirze i santa Julita","Solsonès, el","12.03"
1289,"Linya","Sant Andreu","Solsonès, el","22.19"
1290,"Lladurs","Santa Maria","Solsonès, el","16.00"
1291,"Llobera","Sant Pere","Solsonès, el","14.3"
1292,"Madrona","Sant Pere","Solsonès, el","25.89"
1293,"Matamargó","Sant Pere","Solsonès, el","20.85"
1294,"Molsosa, La  ","Santa Maria","Solsonès, el","20.17"
1295,"Montpol","Sant Miquel","Solsonès, el","19.24"
1296,"Navès","Santa Margarida","Solsonès, el","20.41"
1297,"Olius","Sant Esteve","Solsonès, el","20.92"
1298,"Pedra, La","Sant Sadurní","Solsonès, el","16.85"
1299,"Peracamps","Sant Pere Màrtir","Solsonès, el","16.92"
1300,"Pinell de Solsonès","Sant Miquel","Solsonès, el","16.62"
1301,"Sant Just i Joval","Sant Salvador","Solsonès, el","12.82"
1302,"Sant Llorenç de Morunys","Sant Llorenç","Solsonès, el","29.89"
1303,"Santa Susanna","Santa Susanna","Solsonès, el","16.47"
1304,"Selva","Sant Climenç","Solsonès, el","15.22"
1305,"Solsona","Catedral de Santa Maria","Solsonès, el","33.00"
1306,"Su","Santa Maria","Solsonès, el","24.13"
1307,"Timoneda","Santa Eulàlia","Solsonès, el","16.12"
1308,"Vall, La","Santa Eulàlia","Solsonès, el","16.61"
1309,"Vallmanya","Sant Pere","Solsonès, el","21.33"
1310,"Altafulla","Sant Martí","Tarragonès, el","24.42"
1311,"Ardenya","Sant Jordi de Sabadell","Tarragonès, el","22.73"
1312,"Argilaga","Sant Roc","Tarragonès, el","29.97"
1313,"Canonja, La","Sant Sebastià","Tarragonès, el","35.15"
1314,"Catllar, El","La Degollació de Sant Joan","Tarragonès, el","44.89"
1315,"Constantí","Sant Feliu","Tarragonès, el","44.34"
1316,"Creixell","Sant Jaume","Tarragonès, el","41.9"
1317,"Ferran","Santa Maria","Tarragonès, el","12.25"
1318,"Morell, El","Sant Martí","Tarragonès, el","26.33"
1319,"Nou de Gaià, La","Santa Maria Magdalena","Tarragonès, el","23.06"
1320,"Pallaresos,  Els","Sant Salvador","Tarragonès, el","22.54"
1321,"Perefort","Sant Pere","Tarragonès, el","23.09"
1322,"Pobla de Mafumet, La","Sant Joan Baptista","Tarragonès, el","23.49"
1323,"Pobla de Montornès, La","Santa Maria","Tarragonès, el","39.55"
1324,"Puigdelfí","Sant Sebastià","Tarragonès, el","11.00"
1325,"Renau","Santa Llúcia","Tarragonès, el","15.4"
1326,"Riera de Gaià, La","Santa Margarida","Tarragonès, el","32.29"
1327,"Roda de Berà","Sant Bartomeu","Tarragonès, el","35.53"
1328,"Salomó","Santa Maria","Tarragonès, el","21.09"
1329,"Salou","Santa Maria del Mar","Tarragonès, el","23.35"
1330,"Secuita, La","L'Assumpció","Tarragonès, el","27.85"
1331,"Tarragona","Catedral de Santa Maria","Tarragonès, el","54.25"
1332,"Tarragona","Sant Francesc","Tarragonès, el","31.01"
1333,"Tarragona","Sant Joan Baptista","Tarragonès, el","26.28"
1334,"Tarragona","Sant Pau","Tarragonès, el","31.95"
1335,"Torredembarra","Sant Pere","Tarragonès, el","37.08"
1336,"Vila-seca","Sant Esteve","Tarragonès, el","29.82"
1337,"Vilallonga del Camp","Sant Martí","Tarragonès, el","27.81"
1338,"Arnes","Santa Magdalena","Terra Alta, la","35.76"
1339,"Batea","Sant Miquel","Terra Alta, la","38.39"
1340,"Bot","Sant Blai","Terra Alta, la","25.73"
1341,"Caseres","Santa Magdalena","Terra Alta, la","15.93"
1342,"Corbera d'Ebre","Sant Pere","Terra Alta, la","22.38"
1343,"Fatarella, La","Sant Andreu","Terra Alta, la","32.64"
1344,"Gandesa","L'Assumpció","Terra Alta, la","45.95"
1345,"Pinell de Brai, El","Sant Llorenç","Terra Alta, la","37.66"
1346,"Pobla de Massaluca, La","Sant Antoni Abat","Terra Alta, la","24.31"
1347,"Prat de Comte","Sant Bartomeu","Terra Alta, la","27.43"
1348,"Vilalba dels Arcs","Sant Llorenç","Terra Alta, la","47.15"
1349,"Agramunt","Santa Maria","Urgell, l'","31.00"
1350,"Altet","Sant Pere","Urgell, l'","22.46"
1351,"Anglesola","Sant Pau","Urgell, l'","25.53"
1352,"Belianes","Sant Jaume","Urgell, l'","16.59"
1353,"Bellpuig","Sant Nicolau","Urgell, l'","41.71"
1354,"Bellver d'Ossó","Sant Pere","Urgell, l'","17.49"
1355,"Boldó","L'Assumpció","Urgell, l'","18.36"
1356,"Castellserà","Santa Magdalena","Urgell, l'","27.54"
1357,"Ciutadilla","Sant Miquel","Urgell, l'","22.3"
1358,"Claravalls","Sant Salvador","Urgell, l'","23.46"
1359,"Donzell, La","Sant Pere","Urgell, l'","17.61"
1360,"Figuerosa, La","L'Assumpció","Urgell, l'","29.18"
1361,"Fuliola, La","Santa Llúcia","Urgell, l'","31.65"
1362,"Guàrdia d'Urgell, La","Santa Maria","Urgell, l'","20.39"
1363,"Guimerà","Santa Maria","Urgell, l'","23.53"
1364,"Mafet","Sant Llorenç","Urgell, l'","17.29"
1365,"Maldà","Santa Maria","Urgell, l'","38.67"
1366,"Montclar d'Urgell","Sant Jaume","Urgell, l'","25.37"
1367,"Nalec","Sant Jaume","Urgell, l'","27.5"
1368,"Omells de na Gaia, Els","Santa Maria","Urgell, l'","34.04"
1369,"Preixana","Santa Maria","Urgell, l'","25.16"
1370,"Puigverd d'Agramunt","Sant Pere","Urgell, l'","28.88"
1371,"Rocafort de Vallbona","La Transfiguració","Urgell, l'","27.2"
1372,"Rocallaura","Sant Llorenç","Urgell, l'","17.66"
1373,"Sant Martí de Maldà","Sant Martí","Urgell, l'","47.00"
1374,"Santa Maria de Montmagastrell","Santa Maria","Urgell, l'","25.85"
1375,"Talladell, El","Sant Pere","Urgell, l'","25.85"
1376,"Tàrrega","Santa Maria","Urgell, l'","49.82"
1377,"Tarròs, El","Santa Cecília","Urgell, l'","17.2"
1378,"Tornabous","L'Assumpció","Urgell, l'","23.62"
1379,"Vallbona de les Monges","Santa Maria","Urgell, l'","23.27"
1380,"Verdú","Santa Maria","Urgell, l'","34.48"
1381,"Vilagrassa","Santa Maria","Urgell, l'","26.39"
1382,"Arres","Sant Joan","Val d'Aran, era","15.15"
1383,"Arró","Sant Martin","Val d'Aran, era","22.02"
1384,"Arròs","Santa Eulària","Val d'Aran, era","20.23"
1385,"Arties","Santa Maria","Val d'Aran, era","27.45"
1386,"Aubert","Sant Martin","Val d'Aran, era","27.44"
1387,"Bagergue","Sant Fèlix","Val d'Aran, era","23.36"
1388,"Bausen","Sant Pèir ad Vincula","Val d'Aran, era","29.12"
1389,"Begós","Sant Roc","Val d'Aran, era","17.43"
1390,"Benós","Sant Martin","Val d'Aran, era","23.96"
1391,"Betlan","Sant Pèir","Val d'Aran, era","20.56"
1392,"Bòrdes, Es  ","Era Mare de Diu deth Roser","Val d'Aran, era","26.84"
1393,"Bossòst","Era Assompcion de Maria","Val d'Aran, era","30.7"
1394,"Canejan","Sant Sernilh","Val d'Aran, era","18.87"
1395,"Casarilh","Sant Tomàs","Val d'Aran, era","24.69"
1396,"Casau","Sant Andrèu","Val d'Aran, era","29.14"
1397,"Escunhau","Sant Pèir","Val d'Aran, era","23.6"
1398,"Garós","Sant Julian","Val d'Aran, era","30.27"
1399,"Gausac","Sant Martin","Val d'Aran, era","28.71"
1400,"Gessa","Sant Pèir","Val d'Aran, era","27.85"
1401,"Les","Sant Joan Baptista","Val d'Aran, era","31.97"
1402,"Mont","Sant Laurenç","Val d'Aran, era","16.45"
1403,"Montcorbau","Sant Esteve","Val d'Aran, era","18.94"
1404,"Salardú","Sant Andrèu","Val d'Aran, era","38.5"
1405,"Tredòs","Era Mare de Diu de Cap Aran","Val d'Aran, era","25.79"
1406,"Unha","Santa Eulària","Val d'Aran, era","27.71"
1407,"Vielha","Sant Miquèu","Val d'Aran, era","36.33"
1408,"Vila","Sant Pèir","Val d'Aran, era","21.85"
1409,"Vilac","Sant Fèlix","Val d'Aran, era","36.06"
1410,"Vilamòs","Santa Maria","Val d'Aran, era","24.22"
1411,"Barberà del Vallès","Santa Maria","Vallès Occidental, el","28.00"
1412,"Barberà del Vallès","Santa Maria, la romànica","Vallès Occidental, el","27.00"
1413,"Castellar del Vallès","Sant Esteve","Vallès Occidental, el","53.5"
1414,"Castellbisbal","Sant Vicenç","Vallès Occidental, el","25.8"
1415,"Cerdanyola del Vallès","Mare de Déu del Roser","Vallès Occidental, el","16.25"
1416,"Cerdanyola del Vallès","Sant Martí","Vallès Occidental, el","40.00"
1417,"Cerdanyola del Vallès","Santa Creu de Bellaterra","Vallès Occidental, el","18.5"
1418,"Floresta, La","Nostra Senyora de Montserrat","Vallès Occidental, el","23.6"
1419,"Fonts, Les","Mare de Déu del Roser","Vallès Occidental, el","15.16"
1420,"Matadepera","Sant Joan","Vallès Occidental, el","24.00"
1421,"Montcada i Reixac","Sant Pere, santuari","Vallès Occidental, el","20.5"
1422,"Montcada i Reixac","Santa Engràcia","Vallès Occidental, el","47.5"
1423,"Palau-solità i Plegamans","Sant Genís de Plegamans","Vallès Occidental, el","36.15"
1424,"Palau-solità i Plegamans","Santa Maria de Palau Solità","Vallès Occidental, el","21.56"
1425,"Polinyà","Sant Salvador","Vallès Occidental, el","19.02"
1426,"Ripollet","Sant Esteve","Vallès Occidental, el","27.23"
1427,"Rubí","Sant Pere","Vallès Occidental, el","25.00"
1428,"Sabadell – barri de Jonqueres","Sant Vicenç","Vallès Occidental, el","26.5"
1429,"Sabadell – can Oriac","Sagrat Cor","Vallès Occidental, el","28.31"
1430,"Sabadell – carretera de Matadepera","Sant Julià d'Altura","Vallès Occidental, el","21.00"
1431,"Sabadell – centre","Puríssima Concepció","Vallès Occidental, el","45.00"
1432,"Sabadell – centre","Sant Feliu","Vallès Occidental, el","39.00"
1433,"Sabadell – passeig Gaudí","Sant Oleguer","Vallès Occidental, el","27.3"
1434,"Sabadell – plaça Sant Salvador","Sant Salvador","Vallès Occidental, el","25.00"
1435,"Sant Cugat del Vallès","Sant Pere, antic monestir","Vallès Occidental, el","54.11"
1436,"Sant Feliu del Racó","Sant Feliu (església nova)","Vallès Occidental, el","25.75"
1437,"Sant Feliu del Racó","Sant Feliu (església romànica)","Vallès Occidental, el","15.5"
1438,"Sant Llorenç Savall","Sant Llorenç","Vallès Occidental, el","25.2"
1439,"Sant Quirze del Vallès","Sant Quirze","Vallès Occidental, el","20.5"
1440,"Santa Perpètua de Mogoda","Santa Perpètua","Vallès Occidental, el","25.38"
1441,"Sentmenat","Sant Menna","Vallès Occidental, el","25.8"
1442,"Terrassa – Ca n'Anglada","Sant Cristòfol","Vallès Occidental, el","24.25"
1443,"Terrassa – Can Palet","Sant Josep","Vallès Occidental, el","18.64"
1444,"Terrassa – carrer Faraday","Sagrada Família","Vallès Occidental, el","28.5"
1445,"Terrassa – carretera de Rellinars","Santa Creu","Vallès Occidental, el","17.15"
1446,"Terrassa – centre","Catedral del Sant Esperit","Vallès Occidental, el","47.00"
1447,"Ullastrell","Santa Maria ","Vallès Occidental, el","27.5"
1448,"Vacarrisses","Sant Pere","Vallès Occidental, el","32.00"
1449,"Valldoreix","Sant Cebrià","Vallès Occidental, el","16.55"
1450,"Viladecavalls","Sant Martí de Sorbet","Vallès Occidental, el","18.5"
1451,"Aiguafreda","Santa Maria","Vallès Oriental, el","22.28"
1452,"Ametlla del Vallès, L'","Sant Genís","Vallès Oriental, el","25.7"
1453,"Batllòria, La","Nostra Senyora de l'Esperança","Vallès Oriental, el","20.8"
1454,"Bigues","Sant Pere","Vallès Oriental, el","18.8"
1455,"Caldes de Montbui","Santa Maria","Vallès Oriental, el","44.5"
1456,"Campins","Sant Joan","Vallès Oriental, el","26.00"
1457,"Canovelles","Sant Fèlix, espadanya de 2 ulls","Vallès Oriental, el","14.36"
1458,"Cànoves","Sant Muç","Vallès Oriental, el","25.5"
1459,"Cardedeu","Santa Maria","Vallès Oriental, el","27.56"
1460,"Coll, El","Sant Esteve, santuari","Vallès Oriental, el","16.00"
1461,"Collsabadell","Sant Sadurní","Vallès Oriental, el","22.6"
1462,"Corró d'Amunt","Sant Mamet","Vallès Oriental, el","12.00"
1463,"Costa del Montseny","Sant Esteve","Vallès Oriental, el","16.5"
1464,"Fogars de Montclús","Sant Cristòfol","Vallès Oriental, el","18.00"
1465,"Fou, El  (Alfou)","Sant Julià, santuari","Vallès Oriental, el","19.00"
1466,"Garriga, La","Sant Esteve","Vallès Oriental, el","31.75"
1467,"Granera","Sant Martí","Vallès Oriental, el","13.5"
1468,"Granollers – barri de Palou","Sant Julià de Palou","Vallès Oriental, el","22.32"
1469,"Granollers – centre","Sant Esteve","Vallès Oriental, el","36.75"
1470,"Granollers, límit amb Canovelles","Mare de Déu de Fàtima","Vallès Oriental, el","25.00"
1471,"Gualba","Sant Vicenç","Vallès Oriental, el","18.6"
1472,"Llagosta, La","Sant Josep","Vallès Oriental, el","24.76"
1473,"Lliçà d'Amunt","Sant Julià","Vallès Oriental, el","22.6"
1474,"Lliçà d'Amunt – Palaudàries","Sant Esteve","Vallès Oriental, el","20.2"
1475,"Lliçà de Vall","Sant Cristòfol","Vallès Oriental, el","21.69"
1476,"Llinars del Vallès","Santa Maria","Vallès Oriental, el","25.3"
1477,"Marata","Santa Coloma","Vallès Oriental, el","13.79"
1478,"Martorelles","Sant Joaquim","Vallès Oriental, el","19.5"
1479,"Mollet del Vallès – centre","Sant Vicenç","Vallès Oriental, el","24.00"
1480,"Montmeló","Santa Maria","Vallès Oriental, el","18.5"
1481,"Montnegre","Sant Martí, santuari","Vallès Oriental, el","21.00"
1482,"Montornès del Vallès","Sant Sadurní","Vallès Oriental, el","23.5"
1483,"Montseny","Sant Julià","Vallès Oriental, el","12.2"
1484,"Móra, La","Sant Cebrià","Vallès Oriental, el","11.18"
1485,"Mosqueroles","Sant Martí","Vallès Oriental, el","16.6"
1486,"Parets del Vallès","Sant Esteve","Vallès Oriental, el","28.00"
1487,"Riella del Fai","Sant Vicenç","Vallès Oriental, el","25.5"
1488,"Samalús","Sant Andreu","Vallès Oriental, el","17.00"
1489,"Sanata","Sant Joan","Vallès Oriental, el","19.17"
1490,"Sant Celoni","Sant Martí","Vallès Oriental, el","34.25"
1491,"Sant Esteve de Palautordera","Sant Esteve","Vallès Oriental, el","20.5"
1492,"Sant Feliu de Codines","Sant Feliu","Vallès Oriental, el","33.3"
1493,"Sant Fost de Campsentelles","Sant Faust","Vallès Oriental, el","19.02"
1494,"Sant Pere de Vilamajor","Sant Pere","Vallès Oriental, el","27.4"
1495,"Sant Sebastià de Montmajor","Sant Sebastià","Vallès Oriental, el","13.2"
1496,"Santa Agnès de Malenyanes","Santa Agnès","Vallès Oriental, el","26.35"
1497,"Santa Eulàlia de Ronçana","Santa Eulàlia","Vallès Oriental, el","21.3"
1498,"Santa Maria de Martorelles","Santa Maria","Vallès Oriental, el","18.4"
1499,"Santa Maria de Palautordera","Santa Maria","Vallès Oriental, el","33.00"
1500,"Santa Susanna del Montseny","Santa Susanna","Vallès Oriental, el","12.3"
1501,"Torreta, La","Santa Maria del Jaire","Vallès Oriental, el","31.14"
1502,"Vallgorguina","Sant Andreu","Vallès Oriental, el","22.00"
1503,"Vallromanes","Sant Vicenç","Vallès Oriental, el","20.6"
1504,"Vilalba Sasserra","Santa Maria","Vallès Oriental, el","20.00"
1505,"Vilanova del Vallès","Sant Esteve (santuari de Santa Quitèria)","Vallès Oriental, el","20.00"
